created_at,entry_id,field1
2019-12-11 05:42:07 UTC,334,-77.00
2019-12-11 05:42:27 UTC,335,-69.00
2019-12-11 05:42:47 UTC,336,-69.00
2019-12-11 05:43:07 UTC,337,-75.00
2019-12-11 05:43:27 UTC,338,-76.00
2019-12-11 05:43:47 UTC,339,-66.00
2019-12-11 05:44:07 UTC,340,-67.00
2019-12-11 05:44:27 UTC,341,-68.00
2019-12-11 05:44:47 UTC,342,-68.00
2019-12-11 05:45:07 UTC,343,-66.00
2019-12-11 05:45:27 UTC,344,-78.00
2019-12-11 05:45:47 UTC,345,-76.00
2019-12-11 05:46:07 UTC,346,-70.00
2019-12-11 05:46:27 UTC,347,-69.00
2019-12-11 05:46:47 UTC,348,-78.00
2019-12-11 05:47:07 UTC,349,-80.00
2019-12-11 05:47:27 UTC,350,-68.00
2019-12-11 05:47:47 UTC,351,-67.00
2019-12-11 05:48:07 UTC,352,-68.00
2019-12-11 05:48:27 UTC,353,-70.00
2019-12-11 05:48:47 UTC,354,-72.00
2019-12-11 05:49:07 UTC,355,-73.00
2019-12-11 05:49:27 UTC,356,-73.00
2019-12-11 05:49:47 UTC,357,-72.00
2019-12-11 05:50:07 UTC,358,-70.00
2019-12-11 05:50:27 UTC,359,-71.00
2019-12-11 05:50:47 UTC,360,-73.00
2019-12-11 05:51:07 UTC,361,-68.00
2019-12-11 05:51:27 UTC,362,-72.00
2019-12-11 05:51:47 UTC,363,-68.00
2019-12-11 05:52:07 UTC,364,-73.00
2019-12-11 05:52:27 UTC,365,-70.00
2019-12-11 05:52:47 UTC,366,-68.00
2019-12-11 05:53:07 UTC,367,-72.00
2019-12-11 05:53:27 UTC,368,-68.00
2019-12-11 05:53:47 UTC,369,-69.00
2019-12-11 05:54:07 UTC,370,-71.00
2019-12-11 05:54:27 UTC,371,-71.00
2019-12-11 05:54:47 UTC,372,-70.00
2019-12-11 05:55:07 UTC,373,-72.00
2019-12-11 05:55:27 UTC,374,-71.00
2019-12-11 05:55:47 UTC,375,-68.00
2019-12-11 05:56:07 UTC,376,-71.00
2019-12-11 05:56:27 UTC,377,-75.00
2019-12-11 05:56:47 UTC,378,-66.00
2019-12-11 05:57:07 UTC,379,-67.00
2019-12-11 05:57:27 UTC,380,-67.00
2019-12-11 05:57:47 UTC,381,-78.00
2019-12-11 05:58:07 UTC,382,-69.00
2019-12-11 05:58:27 UTC,383,-69.00
2019-12-11 05:58:47 UTC,384,-76.00
2019-12-11 05:59:07 UTC,385,-68.00
2019-12-11 05:59:27 UTC,386,-66.00
2019-12-11 05:59:47 UTC,387,-66.00
2019-12-11 06:00:07 UTC,388,-67.00
2019-12-11 06:00:27 UTC,389,-69.00
2019-12-11 06:00:47 UTC,390,-74.00
2019-12-11 06:01:07 UTC,391,-76.00
2019-12-11 06:01:27 UTC,392,-70.00
2019-12-11 06:01:47 UTC,393,-64.00
2019-12-11 06:02:07 UTC,394,-77.00
2019-12-11 06:02:27 UTC,395,-66.00
2019-12-11 06:02:47 UTC,396,-66.00
2019-12-11 06:03:07 UTC,397,-68.00
2019-12-11 06:03:27 UTC,398,-70.00
2019-12-11 06:03:47 UTC,399,-76.00
2019-12-11 06:04:07 UTC,400,-65.00
2019-12-11 06:04:27 UTC,401,-65.00
2019-12-11 06:04:47 UTC,402,-72.00
2019-12-11 06:05:07 UTC,403,-76.00
2019-12-11 06:05:27 UTC,404,-66.00
2019-12-11 06:05:47 UTC,405,-76.00
2019-12-11 06:06:07 UTC,406,-67.00
2019-12-11 06:06:27 UTC,407,-65.00
2019-12-11 06:06:47 UTC,408,-68.00
2019-12-11 06:07:07 UTC,409,-86.00
2019-12-11 06:07:27 UTC,410,-66.00
2019-12-11 06:07:47 UTC,411,-73.00
2019-12-11 06:08:07 UTC,412,-67.00
2019-12-11 06:08:27 UTC,413,-67.00
2019-12-11 06:08:47 UTC,414,-67.00
2019-12-11 06:09:07 UTC,415,-64.00
2019-12-11 06:09:27 UTC,416,-68.00
2019-12-11 06:09:47 UTC,417,-67.00
2019-12-11 06:10:07 UTC,418,-72.00
2019-12-11 06:10:27 UTC,419,-65.00
2019-12-11 06:10:47 UTC,420,-74.00
2019-12-11 06:11:07 UTC,421,-67.00
2019-12-11 06:11:27 UTC,422,-67.00
2019-12-11 06:11:47 UTC,423,-68.00
2019-12-11 06:12:07 UTC,424,-76.00
2019-12-11 06:12:27 UTC,425,-71.00
2019-12-11 06:12:47 UTC,426,-68.00
2019-12-11 06:13:07 UTC,427,-65.00
2019-12-11 06:13:27 UTC,428,-68.00
2019-12-11 06:13:47 UTC,429,-68.00
2019-12-11 06:14:07 UTC,430,-65.00
2019-12-11 06:14:27 UTC,431,-70.00
2019-12-11 06:14:47 UTC,432,-75.00
2019-12-11 06:15:07 UTC,433,-67.00
